MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200811,6073,San Diego County,CA,100,0,0,0,0,0,8/11/2020,8/17/2020,1
20200804,6073,San Diego County,CA,100,0,0,0,0,0,8/4/2020,8/10/2020,1
20200728,6073,San Diego County,CA,100,0,0,0,0,0,7/28/2020,8/3/2020,1
20200721,6073,San Diego County,CA,100,0,0,0,0,0,7/21/2020,7/27/2020,1
20200714,6073,San Diego County,CA,100,0,0,0,0,0,7/14/2020,7/20/2020,1
20200707,6073,San Diego County,CA,100,0,0,0,0,0,7/7/2020,7/13/2020,1
20200630,6073,San Diego County,CA,100,0,0,0,0,0,6/30/2020,7/6/2020,1
20200623,6073,San Diego County,CA,100,0,0,0,0,0,6/23/2020,6/29/2020,1
20200616,6073,San Diego County,CA,100,0,0,0,0,0,6/16/2020,6/22/2020,1
20200609,6073,San Diego County,CA,100,0,0,0,0,0,6/9/2020,6/15/2020,1
20200602,6073,San Diego County,CA,100,0,0,0,0,0,6/2/2020,6/8/2020,1
20200526,6073,San Diego County,CA,100,0,0,0,0,0,5/26/2020,6/1/2020,1
20200519,6073,San Diego County,CA,100,0,0,0,0,0,5/19/2020,5/25/2020,1
20200512,6073,San Diego County,CA,100,0,0,0,0,0,5/12/2020,5/18/2020,1
20200505,6073,San Diego County,CA,100,0,0,0,0,0,5/5/2020,5/11/2020,1
20200428,6073,San Diego County,CA,100,0,0,0,0,0,4/28/2020,5/4/2020,1
20200421,6073,San Diego County,CA,100,0,0,0,0,0,4/21/2020,4/27/2020,1
20200414,6073,San Diego County,CA,100,0,0,0,0,0,4/14/2020,4/20/2020,1
20200407,6073,San Diego County,CA,100,0,0,0,0,0,4/7/2020,4/13/2020,1
20200331,6073,San Diego County,CA,91.22,8.78,0,0,0,0,3/31/2020,4/6/2020,1
20200324,6073,San Diego County,CA,91.22,8.78,0,0,0,0,3/24/2020,3/30/2020,1
20200317,6073,San Diego County,CA,89.58,10.42,0,0,0,0,3/17/2020,3/23/2020,1
20200310,6073,San Diego County,CA,87.93,12.07,0,0,0,0,3/10/2020,3/16/2020,1
20200303,6073,San Diego County,CA,100,0,0,0,0,0,3/3/2020,3/9/2020,1
20200225,6073,San Diego County,CA,100,0,0,0,0,0,2/25/2020,3/2/2020,1
20200218,6073,San Diego County,CA,100,0,0,0,0,0,2/18/2020,2/24/2020,1
20200211,6073,San Diego County,CA,100,0,0,0,0,0,2/11/2020,2/17/2020,1
20200204,6073,San Diego County,CA,100,0,0,0,0,0,2/4/2020,2/10/2020,1
20200128,6073,San Diego County,CA,100,0,0,0,0,0,1/28/2020,2/3/2020,1
20200121,6073,San Diego County,CA,100,0,0,0,0,0,1/21/2020,1/27/2020,1
20200114,6073,San Diego County,CA,100,0,0,0,0,0,1/14/2020,1/20/2020,1
20200107,6073,San Diego County,CA,100,0,0,0,0,0,1/7/2020,1/13/2020,1
20191231,6073,San Diego County,CA,100,0,0,0,0,0,12/31/2019,1/6/2020,1
20191224,6073,San Diego County,CA,100,0,0,0,0,0,12/24/2019,12/30/2019,1
20191217,6073,San Diego County,CA,100,0,0,0,0,0,12/17/2019,12/23/2019,1
20191210,6073,San Diego County,CA,100,0,0,0,0,0,12/10/2019,12/16/2019,1
20191203,6073,San Diego County,CA,100,0,0,0,0,0,12/3/2019,12/9/2019,1
20191126,6073,San Diego County,CA,77.96,22.04,0,0,0,0,11/26/2019,12/2/2019,1
20191119,6073,San Diego County,CA,0,100,0,0,0,0,11/19/2019,11/25/2019,1
20191112,6073,San Diego County,CA,0,100,0,0,0,0,11/12/2019,11/18/2019,1
20191105,6073,San Diego County,CA,100,0,0,0,0,0,11/5/2019,11/11/2019,1
20191029,6073,San Diego County,CA,100,0,0,0,0,0,10/29/2019,11/4/2019,1
20191022,6073,San Diego County,CA,100,0,0,0,0,0,10/22/2019,10/28/2019,1
